,Vdot_VFD,PL,PL2
0,0.0,0.0,0.0
1,10.0,0.08182644098607285,0.012086360498887908
2,20.0,0.1880687565813628,0.025629363488493234
3,30.0,0.3187269467858698,0.04062900896881594
4,40.0,0.473801011599594,0.05708529693985609
5,50.0,0.6532909510225353,0.07499822740161366
6,60.0,0.8571967650546937,0.09436780035408865
7,70.0,1.0855184536960691,0.11519401579728106
8,80.0,1.3382560169466617,0.13747687373119089
9,90.0,1.6154094548064712,0.1612163741558179
10,100.0,1.916978767275498,0.18641251707116258
11,110.0,2.242963954353742,0.21306530247722444
12,120.0,2.593365016041203,0.24117473037400394
13,130.0,2.968181952337881,0.27074080076150064
14,140.0,3.3674147632437763,0.30176351363971543
15,150.0,3.7910634487588886,0.3342428690086465
16,160.0,4.239128008883218,0.3681788668682957
17,170.0,4.711608443616765,0.4035715072186621
18,180.0,5.208504752959528,0.4404207900597461
19,190.0,5.729816936911509,0.47872671539154776
20,200.0,6.275544995472707,0.5184892832140662
21,210.0,6.8456889286431215,0.5597084935273022
22,220.0,7.4402487364227525,0.602384346331255
23,230.0,8.059224418811603,0.6465168416259273
24,240.0,8.70261597580967,0.6921059794113145
25,250.0,9.370423407416952,0.7391517596874202
26,260.0,10.062646713633452,0.7876541824542436
27,270.0,10.779285894459171,0.8376132477117864
28,280.0,11.520340949894104,0.8890289554600415
29,290.0,12.285811879938256,0.9419013056990178
30,300.0,13.075698684591625,0.9962302984287099
31,310.0,13.890001363854212,1.0520159336491215
32,320.0,14.728719917726014,1.109258211360249
33,330.0,15.591854346207034,1.167957131562094
34,340.0,16.479404649297273,1.2281126942546567
35,350.0,17.391370826996724,1.2897248994379318
36,360.0,18.327752879305397,1.3527937471119316
37,370.0,19.288550806223288,1.4173192372766508
38,380.0,20.273764607750394,1.4833013699320823
39,390.0,21.28339428388671,1.550740145078226
40,400.0,22.317439834632253,1.6196355627150965
41,410.0,23.37590125998701,1.6899876228426827
42,420.0,24.458778559950986,1.7617963254609847
43,430.0,25.566071734524176,1.8350616705700027
44,440.0,26.697780783706584,1.90978365816974
45,450.0,27.85390570749821,1.9859622882601933
46,460.0,29.034446505899055,2.063597560841366
47,470.0,30.23940317890911,2.1426894759132544
48,480.0,31.46877572652839,2.2232380334758552
49,490.0,32.72256414875688,2.3052432335291826
50,500.0,34.000768445594595,2.3887050760732222
51,510.0,35.30338861704152,2.4736235611079778
52,520.0,36.63042466309766,2.5599986886334563
53,530.0,37.981876583763025,2.6478304586496506
54,540.0,39.35774437903761,2.737118871156568
55,550.0,40.7580280489214,2.827863926154194
56,560.0,42.18272759341442,2.920065623642536
57,570.0,43.63184301251665,3.013723963621601
58,580.0,45.1053743062281,3.1088389460913817
59,590.0,46.60332147454876,3.205410571051871
60,600.0,48.125684517478646,3.303438838503091
61,610.0,49.67246343501774,3.4029237484450263
62,620.0,51.24365822716606,3.5038653008776706
63,630.0,52.839268893923595,3.6062634958010378
64,640.0,54.459295435290336,3.710118333215121
65,650.0,56.10373785126631,3.815429813119927
66,660.0,57.772596141851494,3.922197935515449
67,670.0,59.46587030704589,4.030422700401672
68,680.0,61.18356034684951,4.140104107778633
69,690.0,62.92566626126234,4.251242157646303
70,700.0,64.6921880502844,4.363836850004695
71,710.0,66.48312571391567,4.477888184853796
72,720.0,68.29847925215616,4.593396162193628
73,730.0,70.13824866500588,4.710360782024182
74,740.0,72.00243395246478,4.828782044345431
75,750.0,73.89103511453293,4.948659949157417
76,760.0,75.80405215121029,5.069994496460097
77,770.0,77.74148506249685,5.192785686253501
78,780.0,79.70333384839263,5.317033518537627
79,790.0,81.68959850889765,5.442737993312491
80,800.0,83.70027904401188,5.569899110578049
81,810.0,85.7353754537353,5.698516870334316
82,820.0,87.79488773806797,5.828591272581335
83,830.0,89.87881589700984,5.960122317319048
84,840.0,91.98715993056095,6.0931100045474835
85,850.0,94.11991983872124,6.227554334266628
86,860.0,96.27709562149077,6.363455306476496
87,870.0,98.45868727886952,6.500812921177086
88,880.0,100.66469481085747,6.639627178368372
89,890.0,102.89511821745465,6.779898078050394
90,900.0,105.14995749866105,6.921625620223139
91,910.0,107.42921265447667,7.064809804886593
92,920.0,109.7328836849015,7.20945063204077
93,930.0,112.06097058993554,7.355548101685656
94,940.0,114.41347336957881,7.503102213821279
95,950.0,116.79039202383127,7.652112968447582
96,960.0,119.19172655269298,7.802580365564623
97,970.0,121.6174769561639,7.954504405172386
98,980.0,124.06764323424403,8.107885087270873
99,990.0,126.54222538693337,8.26272241186004
100,1000.0,129.04122341423195,8.419016378939972
101,1010.0,131.5646373161397,8.576766988510585
102,1020.0,134.11246709265671,8.735974240571935
103,1030.0,136.68471274378294,8.896638135123993
104,1040.0,139.28137426951835,9.05875867216676
105,1050.0,141.90245166986304,9.222335851700308
106,1060.0,144.5479449448169,9.387369673724493
107,1070.0,147.21785409438,9.553860138239457
108,1080.0,149.9121791185523,9.721807245245117
109,1090.0,152.6309200173338,9.891210994741442
110,1100.0,155.37407679072456,10.062071386728576
111,1110.0,158.1416494387245,10.234388421206347
112,1120.0,160.93363796133366,10.40816209817487
113,1130.0,163.75004235855207,10.583392417634116
114,1140.0,166.59086263037966,10.760079379584056
115,1150.0,169.45609877681648,10.93822298402472
116,1160.0,172.34575079786254,11.117823230956134
117,1170.0,175.2598186935178,11.298880120378215
118,1180.0,178.19830246378223,11.481393652291018
119,1190.0,181.16120210865594,11.665363826694602
120,1200.0,184.14851762813885,11.850790643588851
121,1210.0,187.160249022231,12.037674102973853
122,1220.0,190.1963962909323,12.22601420484952
123,1230.0,193.25695943424287,12.415810949215938
124,1240.0,196.34193845216268,12.60706433607308
125,1250.0,199.45133334469165,12.799774365420888
126,1260.0,202.58514411182986,12.993941037259475
127,1270.0,205.7433707535773,13.189564351588757
128,1280.0,208.92601326993392,13.386644308408762
129,1290.0,212.1330716608998,13.585180907719462
130,1300.0,215.36454592647488,13.785174149520913
131,1310.0,218.62043606665915,13.986624033813058
132,1320.0,221.9007420814527,14.189530560595955
133,1330.0,225.20546397085542,14.393893729869518
134,1340.0,228.53460173486735,14.599713541633804
135,1350.0,231.88815537348853,14.806989995888841
136,1360.0,235.2661248867189,15.015723092634545
137,1370.0,238.66851027455849,15.225912831871028
138,1380.0,242.09531153700732,15.437559213598206
139,1390.0,245.54652867406534,15.650662237816107
140,1400.0,249.02216168573258,15.865221904524674
141,1410.0,252.52221057200907,16.08123821372402
142,1420.0,256.0466753328948,16.29871116541409
143,1430.0,259.59555596838965,16.517640759594826
144,1440.0,263.16885247849376,16.738026996266285
145,1450.0,266.7665648632071,16.959869875428524
146,1460.0,270.3886931225297,17.18316939708143
147,1470.0,274.0352372564614,17.407925561225
148,1480.0,277.70619726500246,17.634138367859407
149,1490.0,281.40157314815264,17.86180781698448
150,1500.0,285.12136490591206,18.090933908600277
151,1510.0,288.8655725382807,18.32151664270674
152,1520.0,292.63419604525853,18.553556019303926
153,1530.0,296.42723542684564,18.78705203839195
154,1540.0,300.24469068304194,19.02200469997058
155,1550.0,304.0865618138474,19.258414004039935
156,1560.0,307.9528488192621,19.496279950599956
157,1570.0,311.8435516992861,19.735602539650813
158,1580.0,315.7586704539192,19.97638177119228
159,1590.0,319.6982050831616,20.218617645224583
160,1600.0,323.6621555870132,20.462310161747553
161,1610.0,327.650521965474,20.70745932076119
162,1620.0,331.663304218544,20.954065122265547
163,1630.0,335.70050234622323,21.202127566260685
164,1640.0,339.76211634851177,21.451646652746547
165,1650.0,343.84814622540944,21.702622381723074
166,1660.0,347.9585919769163,21.955054753190325
167,1670.0,352.0934536030324,22.20894376714824
168,1680.0,356.25273110375775,22.464289423596995
169,1690.0,360.4364244790923,22.721091722536414
170,1700.0,364.6445337290361,22.979350663966613
171,1710.0,368.87705885358906,23.239066247887365
172,1720.0,373.13399985275123,23.500238474298953
173,1730.0,377.41535672652265,23.762867343201265
174,1740.0,381.72112947490325,24.026952854594185
175,1750.0,386.05131809789316,24.292495008478
176,1760.0,390.4059225954922,24.559493804852423
177,1770.0,394.7849429677005,24.827949243717512
178,1780.0,399.18837921451797,25.09786132507338
179,1790.0,403.6162313359447,25.369230048919974
180,1800.0,408.0684993319806,25.642055415257232
181,1810.0,412.5451832026258,25.916337424085327
182,1820.0,417.0462829478802,26.19207607540409
183,1830.0,421.57179856774377,26.469271369213516
184,1840.0,426.12173006221656,26.747923305513723
185,1850.0,430.69607743129853,27.02803188430454
186,1860.0,435.2948406749898,27.30959710558625
187,1870.0,439.9180197932903,27.59261896935851
188,1880.0,444.56561478619994,27.87709747562161
189,1890.0,449.2376256537188,28.16303262437532
190,1900.0,453.9340523958469,28.45042441561975
191,1910.0,458.65489501258423,28.739272849355018
192,1920.0,463.4001535039308,29.029577925580952
193,1930.0,468.16982786988655,29.321339644297552
194,1940.0,472.9639181104515,29.614558005504875
195,1950.0,477.7824242256257,29.90923300920292
196,1960.0,482.6253462154091,30.20536465539169
197,1970.0,487.4926840798017,30.502952944071183
198,1980.0,492.3844378188036,30.801997875241454
199,1990.0,497.30060743241467,31.102499448902392
200,2000.0,502.2411929206349,31.404457665053997
